person,imagenum,Male,Asian,White,Black,Baby,Child,Youth,Middle Aged,Senior,Black Hair,Blond Hair,Brown Hair,Bald,No Eyewear,Eyeglasses,Sunglasses,Mustache,Smiling,Frowning,Chubby,Blurry,Harsh Lighting,Flash,Soft Lighting,Outdoor,Curly Hair,Wavy Hair,Straight Hair,Receding Hairline,Bangs,Sideburns,Fully Visible Forehead,Partially Visible Forehead,Obstructed Forehead,Bushy Eyebrows,Arched Eyebrows,Narrow Eyes,Eyes Open,Big Nose,Pointy Nose,Big Lips,Mouth Closed,Mouth Slightly Open,Mouth Wide Open,Teeth Not Visible,No Beard,Goatee,Round Jaw,Double Chin,Wearing Hat,Oval Face,Square Face,Round Face,Color Photo,Posed Photo,Attractive Man,Attractive Woman,Indian,Gray Hair,Bags Under Eyes,Heavy Makeup,Rosy Cheeks,Shiny Skin,Pale Skin,5 o' Clock Shadow,Strong Nose-Mouth Lines,Wearing Lipstick,Flushed Face,High Cheekbones,Brown Eyes,Wearing Earrings,Wearing Necktie,Wearing Necklace
George W Bush,12,2.062201372,-1.542598504,1.803508692,-3.655121117,-1.268773035,-1.202167121,-1.513865807,-0.507042944,-0.539447625,-0.750019896,-1.024583039,0.190930157,-1.909101994,1.164140219,-0.506734086,-1.221110598,-0.907452422,-1.072213166,1.216113462,-1.08371493,-1.477928703,-0.936554131,-0.264292535,-0.882054599,-0.148520898,0.859068309,0.00625285,-1.129732236,-0.244787333,-0.52372594,0.59110664,-0.598139407,-0.490986181,-0.712135584,0.483894948,-1.578060739,-0.447271911,1.378963851,0.127268535,0.733690347,-1.041047613,-0.983786187,0.576103942,-0.580801416,0.664380821,0.349012775,-0.371873455,0.086394083,0.017464293,-0.793354051,0.489151626,-0.197746946,-0.757070087,6.283269974,0.281967919,0.007563486,-0.682265055,-2.118630854,-0.42945804,-0.530983768,-0.926357094,-0.268137013,-0.36509892,-1.753492404,0.067399194,-0.856102991,-1.47229293,0.329558503,-1.299508658,-0.71332788,-1.053771046,0.266669765,-0.55086392
George W Bush,13,1.815401611,-1.077343679,0.851563577,-1.64991402,-1.183687027,-0.997183999,-1.16732578,-0.671830909,-0.436510527,-0.466195514,-1.29899036,-2.318159279,-1.099398181,0.419022318,-0.135938033,-1.207325156,-0.672861511,-1.889768999,1.94869387,-1.040243453,-1.552155128,-0.256804951,-0.916768037,-0.45885045,1.156115443,0.610703711,0.276421397,-0.538294457,0.546362535,-0.601025377,0.123892422,0.959241478,-0.447812642,-0.106137291,-0.179893082,-2.315435483,0.094655493,2.206922061,-0.908745943,0.488515056,-0.564089392,-0.086367096,0.034856041,-0.63961425,1.326714925,0.260802113,-0.77822084,0.212012014,-0.301411836,-1.110397746,-0.403734306,-0.414045983,-0.480023606,2.699417298,0.770681993,0.15561666,0.036533779,-1.349483362,-0.074897123,-0.149327325,-0.796273809,-0.332087044,-1.002356576,1.154374746,0.007911925,-0.871635934,-1.907844788,-1.847250416,-1.45925657,-0.506977186,-0.895750911,0.237654675,-0.574222612
George W Bush,14,1.735620754,-2.398509054,2.11036598,-1.827368241,-1.60175256,-0.791468916,-1.451573517,-0.502963117,0.352269202,-1.111334706,-0.370434431,-2.466328028,-0.882160572,0.536309498,0.23326085,-1.471685376,-0.782127346,-0.87326037,0.740548285,-0.083032366,-0.950056639,-1.237322644,-0.109175231,0.735627666,0.378322294,0.300281163,0.552897392,-0.715383252,0.736390212,-1.137256898,0.551775825,1.659426495,-0.557192341,-0.746139684,-0.136474453,-2.027037168,0.07951116,1.123237153,-0.377136613,0.967260518,-0.919050067,-1.105826935,-0.796798665,-0.275894544,0.054240466,0.487091914,-0.826218737,0.180445976,0.103110644,-0.834201262,0.242203986,-0.459218377,-0.802550994,2.51894815,-0.75200686,-0.185994183,-0.697941747,-1.111568323,-0.171420133,-0.259604838,-0.487532924,-2.859913201,-0.012947865,1.300476997,-0.133288154,0.029018616,-1.375335327,-3.202711085,-0.782945914,-0.304880961,-0.481158073,0.542626337,-0.603632903
George W Bush,15,1.395976483,-1.369339338,1.313691583,-1.723270376,-1.08801972,-0.316948629,-1.450019979,-0.562251149,-0.337775959,-1.181122913,-0.71751823,-0.561564747,-0.57416681,1.175520255,-1.227237059,-1.305534921,-0.550192386,-0.85631807,0.851926219,-1.908927467,-1.832131092,-0.849638746,-1.130410528,0.627055158,-0.016903855,0.99128467,0.163684822,-1.052305772,0.462712764,-0.705639119,-0.115046059,1.043403219,-0.576078177,-0.301968238,0.106948983,-1.364214314,1.048621791,1.039643003,0.210701015,0.068265347,-0.0849695,-0.502134573,0.306323192,-1.069783252,-0.324764591,0.00486195,-0.374936317,0.250657853,-0.399244002,-1.048829302,0.551144807,-0.197276974,-0.92354393,2.34900593,-0.191764586,-0.215535812,-0.769504557,-1.397634398,-0.293146556,0.080069736,-0.750074617,-0.808530842,-0.938264294,0.99630552,-0.64174438,-0.503478722,-1.127495399,-1.464038291,-0.814802308,-0.355330425,-1.027754482,0.629992923,-0.842771357
George W Bush,16,1.658552534,-1.499275623,1.595039084,-1.905743723,-1.031043107,-0.409843127,-1.011838497,-0.653566201,-0.588750161,-1.462365409,-0.16490706,-1.854164861,-0.861782645,1.150358515,-0.70300103,-1.613286818,-0.757433929,-1.436892501,1.550459336,-1.318077983,-2.762684925,-0.476639205,-1.132824092,0.191570835,-0.217356183,0.421403918,-0.068402664,-0.603956747,0.333663998,-0.838342344,-0.093046717,0.906086517,-0.547616366,-0.392548414,0.02852825,-0.994150106,-0.049863126,1.607799713,0.597503128,0.15874591,-0.546493256,-0.225028905,-0.196515971,-1.355947758,0.463297647,0.307392024,-0.461239055,0.271829027,-0.082355724,-0.993088536,0.431073395,-0.318894467,-0.702989042,3.636513558,-0.220927367,0.14798758,-0.949254605,-1.729278971,-0.628203921,-0.206316318,-0.937531572,0.709287372,-1.014736847,1.19843151,0.026957598,-0.875523806,-1.463343237,-0.135119877,-1.127932404,0.033549492,-0.892866548,0.541186094,-0.85925917
George W Bush,17,0.111643209,-0.693691594,1.000394269,-2.237324614,-1.033076286,-0.977318559,-1.040529217,-0.573148288,-0.027017097,-0.896991595,-0.673933256,0.377198769,-1.941502697,1.80349032,-0.909618941,-1.775859592,-0.472820136,1.048143578,-1.143233837,0.279615669,-1.575027943,-0.984787074,-0.807617468,0.935826983,0.153795638,0.103036056,-0.212312541,-0.51364351,1.033196265,-0.879490539,-0.124650798,1.258767598,-0.546151153,-0.359297534,-0.018785703,-2.35624797,-0.359993739,1.047034143,0.493671717,0.022124699,-0.604444062,-1.191096774,-0.274559966,0.370500701,-0.550878762,0.74126357,-0.769696801,0.242333283,-0.030071262,-0.561545253,0.705560054,-0.701265419,-0.507454714,3.934286389,-0.853448129,-0.062235307,-1.239329121,-1.671689663,-0.011842568,0.402809476,-1.284303684,0.163419529,-1.23041014,0.535746213,-0.745427898,0.042707751,-1.253990682,0.083447079,0.169750021,0.574841702,-0.31155861,0.111309027,0.26191588
George W Bush,18,1.582581106,-0.865416323,0.471340775,-1.944803066,-1.247350171,-0.272744187,-0.967960074,-1.006281473,-0.258321778,-1.219478896,-0.725909308,-0.227485146,-1.488621418,0.724314829,-1.100050448,-1.250337082,-0.776640102,-2.404706922,2.321427463,-0.107728126,-0.703594896,-0.990338057,-1.156502479,0.567543207,0.297988095,1.062822742,-0.146004564,-0.550729767,-0.206535338,-0.185851674,-0.153893386,-0.900109644,-0.435066647,0.381287195,0.029505021,-2.463797995,1.570395976,1.38927372,-0.488423599,0.114321794,0.716283764,-0.946764369,-0.119055234,-0.084713219,0.707001296,0.215136936,-0.702647516,0.263729936,-0.371162254,0.209451064,0.514822287,-0.830679623,-0.532612125,6.882379266,-0.510912392,-0.354537483,-0.220920982,-1.537177986,-0.52308686,-0.105579602,-0.600270371,0.508234451,-1.007364951,-1.342435942,-0.487529702,-1.080713289,-1.333157966,-1.12828709,-1.166799814,0.792495162,-0.871868545,-0.070595338,-0.67369677
George W Bush,19,1.702961689,-2.15460439,1.542374534,-2.310722577,-1.442262087,-0.963399326,-1.228396043,-0.30666513,-0.579831662,-1.758390939,-1.357425001,-0.464595936,-1.270575007,1.44773156,-1.073377761,-1.071591771,-0.541751864,-0.966479925,0.993018202,0.03691688,-1.108304753,-0.545869219,-0.774721042,0.338783901,0.736298132,0.457537754,0.3916105,-0.799705896,0.297520606,-1.701737117,0.561232147,1.777718874,-1.318522717,-0.693608441,0.423282762,-1.702409327,2.126626178,1.042884793,0.580452908,0.730485891,-0.182764986,0.04128732,-0.293406503,-0.570473744,0.133743795,-0.216417582,0.001037271,0.022293736,0.459454165,-0.300874988,0.019705045,0.201829257,-1.058757538,1.868952057,0.09533499,0.375860537,-0.858620099,-0.688752588,0.21899604,0.037100425,-1.242961752,-2.086131668,-0.960889832,2.200144062,1.231168196,-0.225929171,-1.84149737,-2.074921464,-0.85108599,-0.647191519,-0.924702174,0.421627852,-1.12386925
George W Bush,21,1.500729726,-1.648428563,0.915024304,-0.363065053,-0.926651881,-0.349708529,-0.868126988,-0.215577561,-0.800234391,-1.059424134,-0.998312489,-1.071527215,-0.85844533,0.615403095,-1.404661502,-0.819715605,-0.629707174,-0.778107193,0.760255486,0.057391362,-0.974077451,-0.879615256,-0.617524151,1.02723793,0.43823741,0.801625595,0.059848543,-1.186274903,-0.209899526,-1.302293301,-0.12065685,1.195997809,-0.697527717,-0.875395084,0.244655072,-1.594604194,1.558335294,1.36203801,0.300473698,-0.036262934,0.152952254,-0.090481585,-0.39813972,-0.430917742,0.107660095,-0.070493104,-0.345061515,0.150518608,0.253493548,-0.803861854,-0.14097846,-0.096563918,-0.418662693,1.803563103,0.357618073,-0.187756507,-0.778630697,-1.244710484,0.142722201,-0.187323818,-1.416810364,-1.825866866,-0.844118063,0.676883135,0.686428325,-0.494597526,-1.618792185,-1.763773493,-0.960739761,0.772325465,-0.790229482,0.721014979,-0.836843626
George W Bush,22,1.581970484,-1.505457211,0.821927726,-1.774160819,-0.875598179,-0.759609129,-0.734459677,-0.569935266,-0.287020841,-1.097994254,-0.711724611,-1.204523956,-1.376486316,1.378175552,-0.728771586,-1.809795205,-1.125526381,-1.865456438,2.145375665,0.552066399,-0.945561338,-0.910354891,-1.187751561,1.485852164,0.459945235,0.471021242,0.52068031,-1.569826491,0.325055833,-0.59591481,0.132459872,0.59940911,-0.618628466,-0.471209062,-0.150998084,-0.998530292,1.10781619,1.025663581,-0.470638085,0.571504212,-1.108632966,0.864321122,-0.71761438,-1.26874991,0.581791098,1.039225371,-0.70746576,0.23493428,-0.154947495,-0.603103542,0.133285392,-0.384694817,-0.451770993,-0.370353161,-0.79327262,-0.149962202,-0.6079934,-1.4037328,-0.045154247,-0.131913152,-0.809928154,-0.899913883,-1.018741937,1.954702264,-0.130771137,-0.716017343,-1.370992066,-3.799589067,-1.149468121,0.591977166,-0.832936353,0.764771101,-0.687258069
George W Bush,23,0.704387985,-1.710846623,0.940319415,-2.184747911,-0.81596239,-1.030852363,-0.960568871,-0.226276589,-0.283206633,-0.106370571,-1.034807625,-0.576276281,-0.779129997,0.75549975,-1.694655074,-0.778034579,0.027959195,-0.963490713,0.475674884,1.342852536,-0.872272435,1.761474386,-0.441859326,-0.816185261,-0.145291384,0.316710628,0.572475518,-1.470046936,-1.015237484,-1.055594036,-0.158463967,0.131148887,-0.380388301,-0.599295707,0.180436725,-1.358983975,0.257056368,-0.766092782,0.534691683,0.850039617,-0.228031354,-0.000791698,-0.604328539,-0.590639359,0.382336378,0.259324051,-0.338636032,0.240188584,0.244319312,-0.656352816,0.156694504,-0.42097907,-0.440281336,7.092776478,-0.844641628,0.08181403,-0.562026662,-0.713667199,-0.780059451,0.093619846,-0.615134678,-2.625356402,-0.675528344,-2.706931016,-0.119996852,-0.526525255,-0.825373258,-1.037477491,-0.778647156,-0.104905756,-0.685087658,0.182572143,-0.530405626
George W Bush,24,1.630605071,-1.297547231,0.847459779,-1.974036408,-1.812652737,-0.359336785,-0.537920106,-0.51266782,-0.683918008,-1.411905729,-0.778292206,-0.705065634,-1.285761372,1.613530156,-0.966822086,-1.56247532,-1.212429012,-2.125364613,2.361941857,-0.369525602,-0.182786447,-0.853726097,-1.283447733,0.998480161,0.735793875,0.170207896,-0.201766819,-0.185330998,0.506278732,-0.725676769,0.111292666,0.769525789,-0.871869286,-0.395973618,0.052887235,-2.078547266,1.161305815,1.266531199,-0.728226457,0.687580404,0.811082717,-0.556945777,-0.459886589,-0.598528195,0.470699762,0.983856821,-0.907286055,0.231780331,-0.29330467,-0.822900318,0.655256158,-0.181714248,-0.707787669,2.040356186,-0.503566541,-0.503121215,-0.835541008,-1.32162483,-0.495679091,-0.215211517,-0.437963428,-1.244799953,-0.966400967,0.560744338,-0.4949301,-1.137476709,-1.403419769,-4.045186452,-1.601931391,0.712068658,-0.879747685,0.046786651,-1.25735926
George W Bush,25,2.019663356,-1.378431033,0.809132285,-0.8895434,-1.234140481,-0.7013513,-1.643672133,-0.142439588,-0.025213103,-0.969485173,-0.918527635,0.245604596,-0.41172602,0.238928149,-1.157022259,-0.602164019,-0.657016308,-1.35474637,1.585278307,-0.512909888,-1.280518819,-0.713480874,-1.066048237,0.826786056,0.930444868,0.813805944,-0.430850271,-0.749637134,0.870560279,-1.606308795,-0.114487052,1.012693861,-0.850602416,-1.327826239,-0.483023213,-2.024751992,2.2043275,0.598419342,0.265760988,-0.15363329,-0.622655008,0.578650139,-0.901814076,-1.160644023,0.538131273,-0.119725545,-0.002326418,0.18866494,-0.190418799,-0.188344391,0.378141532,-0.021773753,-0.96298657,2.80208945,-0.337416498,-0.452445353,-0.778338238,-1.552247951,0.025058857,0.325858573,-1.237919935,-1.057425628,-0.640036323,-0.536897108,0.802683676,-0.228873641,-1.579924271,-1.400182684,-1.137766124,0.987097233,-0.919399746,0.351667833,-0.967839219
George W Bush,26,1.64272104,-1.255271991,0.739687294,-1.108161888,-0.998513553,-0.28098962,-1.421768615,-0.081035346,-0.79468398,-1.130581082,-0.662533812,-0.749102515,-0.844950986,1.534712519,-1.345109686,-1.115032785,-0.650843506,-0.989224613,1.115325997,-0.640102104,-0.787466712,-0.438614933,-1.349870222,0.616567109,0.568067929,0.541587999,-0.468565551,-0.513459382,0.678759815,-0.517675084,0.012080431,0.430742907,-0.579779474,-0.165561303,-0.279956693,-1.26822231,1.709875467,1.112829613,0.304517137,-0.153405742,0.568674619,-2.03090093,0.328110072,-0.300583014,0.046921312,0.414745998,-0.266668978,0.259824946,-0.565167713,-1.164871297,0.47185965,-0.174203129,-0.650695704,3.767832791,-0.54663209,0.219161451,-0.897406306,-1.240847308,-0.496800547,0.46587775,-0.989922495,-1.15710122,-0.670945276,-1.139348631,-0.733410039,-0.206658577,-1.151222679,-1.260510742,-0.774174527,-0.069042833,-0.771749972,0.070759321,-0.974730004
George W Bush,27,1.378374926,-1.279018948,1.471424825,-1.515980846,-0.597502114,-0.572278414,-1.580808375,-0.376177754,-0.024034481,-0.864413891,-1.136538012,-0.747368576,-0.715861418,0.691092668,-0.289648457,-1.702342019,-0.825624068,-1.187821371,1.110399734,-0.627532685,-1.599736203,-0.645456361,-0.441915677,0.789301812,-0.459589027,0.357399029,-0.152883407,-0.816715475,0.466536334,-1.770088936,-0.001337167,1.125318591,-1.093878412,-1.504003847,0.598592603,-2.045779848,1.726994582,0.90380134,0.082524529,0.750426285,-1.180347615,-0.183388316,-0.63844805,-0.559412596,0.893251821,0.574343721,-0.651852291,0.111589454,0.155736171,-1.205411983,-0.429564166,-0.085052898,-0.683693996,4.885655393,-0.027000548,-0.460208852,-1.053544895,-1.531715765,0.156691549,-0.328868264,-1.370000455,-1.963600815,-0.872556275,-2.599072588,0.871759963,-0.928582384,-1.603858289,-1.744208514,-0.906691639,0.331109072,-0.967713995,1.159824933,-0.766326328
George W Bush,28,1.394024368,-0.525940979,0.913063318,-1.537991405,-1.124313842,-0.548516877,-1.090441108,-0.422086363,-0.226034862,-0.608312938,-0.802920899,-2.409633258,-0.040468186,1.633267391,0.083958328,-1.818013146,-0.815908603,-1.176573135,1.226130879,-0.311726566,-1.456532239,-0.66429643,-1.277032949,1.025462203,0.538372089,0.786646289,-0.500380927,-1.190445339,1.575722634,-1.391942713,0.015507786,0.535950128,-0.616777671,-1.299912868,-0.046676311,-1.594351729,2.498070669,0.623148425,-0.124737614,0.015750515,-0.380895181,-1.04270725,-0.612836867,-0.639014922,0.89386649,0.70996072,-0.842711532,0.284564207,-0.067777351,-0.410224233,0.362676812,-0.425214338,-0.723623452,0.149022889,-0.661313002,-0.01923841,-0.812578944,-1.836045951,0.138338833,-0.207554941,-1.023209999,-0.543933031,-1.274711593,2.515929321,-0.235471762,-1.109834575,-1.855468908,-2.491906062,-1.277039254,0.105177027,-0.635561586,-0.312608003,-1.019452435
